Doc&Category, Element ID, Porperty, Number Value,String Value 
8,939689,部件代码@0,,B10
8,939689,横断面形状@12,0,
8,939689,b@1,1.5,
8,939691,启用分析模型@12,1,
8,939691,随轴网移动@19,1,
8,939691,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939691,底部偏移@19,0,
8,939691,类型 ID@-1,,18"
8,939691,顶部标高@19,,L8
8,939691,体积@1,22.97,
8,939691,柱样式@19,0,
8,939691,族与类型@-1,,18"
8,939691,类型@-1,,18"
8,939691,长度@1,14,
8,939691,面积@1,32.4,
8,939691,底部标高@19,,L7
8,939691,顶部偏移@19,0,
8,939691,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939691,创建的阶段@14,,New Construction
8,939691,标高@19,,L7
8,939691,族@-1,,18"
8,939691,柱定位标记@19,,B-2
8,939691,类型名称@0,,18"
8,939691,部件代码@0,,B10
8,939691,横断面形状@12,0,
8,939691,b@1,1.5,
8,939714,底部偏移@19,0,
8,939714,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939714,顶部标高@19,,L9
8,939714,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939714,顶部偏移@19,0,
8,939714,标高@19,,L8
8,939714,面积@1,32.4,
8,939714,族与类型@-1,,18"
8,939714,柱样式@19,0,
8,939714,随轴网移动@19,1,
8,939714,创建的阶段@14,,New Construction
8,939714,长度@1,14,
8,939714,底部标高@19,,L8
8,939714,体积@1,22.97,
8,939714,柱定位标记@19,,H-5
8,939714,启用分析模型@12,1,
8,939714,类型@-1,,18"
8,939714,族@-1,,18"
8,939714,类型 ID@-1,,18"
8,939714,类型名称@0,,18"
8,939714,部件代码@0,,B10
8,939714,横断面形状@12,0,
